marker,Identifier,Score,Component,Description
ARogers,Participant 12896008,3,1,Abstract is clear and accurate
ARogers,Participant 12896008,3,2,Abstract contains correct information
ARogers,Participant 12896008,2,3,Introduction is clear and accurate
ARogers,Participant 12896008,2,4,Introduction gives big-picture overview
ARogers,Participant 12896008,3,5,Introduction outlines specific research area
ARogers,Participant 12896008,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12896008,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896008,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896008,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896008,2,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896008,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896008,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896008,1,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896008,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896008,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896008,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896008,2,18,Discussion correctly interprets findings
ARogers,Participant 12896008,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896008,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896008,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896008,2,22,Discussion concludes appropriately.
ARogers,Participant 12896008,2,23,Overall clarity of writing
ARogers,Participant 12896008,3,24,Overall quality of grammar and spelling
ARogers,Participant 12896008,4,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896008,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12896009,4,1,Abstract is clear and accurate
ARogers,Participant 12896009,4,2,Abstract contains correct information
ARogers,Participant 12896009,4,3,Introduction is clear and accurate
ARogers,Participant 12896009,5,4,Introduction gives big-picture overview
ARogers,Participant 12896009,5,5,Introduction outlines specific research area
ARogers,Participant 12896009,4,6,Introduction gives rationale for current experiment
ARogers,Participant 12896009,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896009,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896009,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896009,5,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896009,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896009,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896009,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896009,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896009,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896009,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896009,4,18,Discussion correctly interprets findings
ARogers,Participant 12896009,5,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896009,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896009,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896009,4,22,Discussion concludes appropriately.
ARogers,Participant 12896009,4,23,Overall clarity of writing
ARogers,Participant 12896009,5,24,Overall quality of grammar and spelling
ARogers,Participant 12896009,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896009,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895987,3,1,Abstract is clear and accurate
ARogers,Participant 12895987,2,2,Abstract contains correct information
ARogers,Participant 12895987,2,3,Introduction is clear and accurate
ARogers,Participant 12895987,3,4,Introduction gives big-picture overview
ARogers,Participant 12895987,3,5,Introduction outlines specific research area
ARogers,Participant 12895987,3,6,Introduction gives rationale for current experiment
ARogers,Participant 12895987,2,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895987,1,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895987,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895987,3,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895987,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895987,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895987,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895987,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895987,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895987,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895987,2,18,Discussion correctly interprets findings
ARogers,Participant 12895987,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895987,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895987,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895987,3,22,Discussion concludes appropriately.
ARogers,Participant 12895987,3,23,Overall clarity of writing
ARogers,Participant 12895987,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895987,3,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895987,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12896021,4,1,Abstract is clear and accurate
ARogers,Participant 12896021,4,2,Abstract contains correct information
ARogers,Participant 12896021,3,3,Introduction is clear and accurate
ARogers,Participant 12896021,4,4,Introduction gives big-picture overview
ARogers,Participant 12896021,3,5,Introduction outlines specific research area
ARogers,Participant 12896021,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12896021,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896021,5,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896021,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896021,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896021,5,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896021,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896021,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896021,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896021,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896021,5,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896021,4,18,Discussion correctly interprets findings
ARogers,Participant 12896021,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896021,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896021,3,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896021,3,22,Discussion concludes appropriately.
ARogers,Participant 12896021,4,23,Overall clarity of writing
ARogers,Participant 12896021,5,24,Overall quality of grammar and spelling
ARogers,Participant 12896021,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896021,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895979,3,1,Abstract is clear and accurate
ARogers,Participant 12895979,3,2,Abstract contains correct information
ARogers,Participant 12895979,3,3,Introduction is clear and accurate
ARogers,Participant 12895979,3,4,Introduction gives big-picture overview
ARogers,Participant 12895979,3,5,Introduction outlines specific research area
